LA 2564 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:45	     	CCS 	CARACAS                       	    	                              	     	  -  	                    	     	
LA 2588 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:50	     	CLO 	CALI                          	UIO 	QUITO                         	     	  -  	                    	     	
P9 215  	N	L	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	12:50	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	
LA 2313 	N	L	LAN 	LA  	LAN                           	19/04/2011	12:50	     	PIU 	PIURA                         	    	                              	     	  -  	                    	     	0
LA 2443 	I	S	LAN 	LA  	LAN                           	19/04/2011	12:55	     	IGR 	IGUAZU                        	    	                              	     	  -  	                    	     	0
2I 4220 	N	S	STP 	2I  	STAR PERU                     	19/04/2011	13:00	     	HUU 	HUANUCO                       	    	                              	     	  -  	                    	     	
2I 3217 	N	S	STP 	2I  	STAR PERU                     	19/04/2011	13:00	     	IQT 	IQUITOS                       	PCL 	PUCALLPA                      	     	  -  	                    	     	
2I 200  	N	S	STP 	2I  	STAR PERU                     	19/04/2011	13:00	     	MVV 	MALVINAS                      	    	                              	     	  -  	                    	     	
AT  1629	N	S	AMP 	AT  	ATSA                          	19/04/2011	13:00	     	    	NVO MUNDO                     	    	                              	     	  -  	                    	     	
LA 637  	I	S	LAN 	LA  	LAN                           	19/04/2011	13:00	     	SCL 	SANTIAGO                      	    	                              	     	  -  	                    	     	0
LA 2255 	N	L	LAN 	LA  	LAN                           	19/04/2011	13:00	     	TPP 	TARAPOTO                      	    	                              	     	  -  	                    	     	0
P9 444  	N	S	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	13:00	     	TBP 	TUMBES                        	    	                              	     	1 -5 	                    	3    	
CM 475  	I	L	CMP 	CM  	COPA AIRLINES                 	19/04/2011	13:03	     	    	PANAMA                        	    	                              	     	  -  	                    	     	P
LA 2020 	N	L	LAN 	LA  	LAN                           	19/04/2011	13:10	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
LA 2128 	N	L	LAN 	LA  	LAN                           	19/04/2011	13:15	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
W4 1332 	N	L	LCB 	W4  	LC BUSRE                      	19/04/2011	13:15	     	HUU 	HUANUCO                       	    	                              	     	  -  	                    	     	0
LP 626  	I	S	LPE 	LP  	LAN                           	19/04/2011	13:15	     	MEX 	MEXICO                        	    	                              	     	  -  	                    	     	P
LA 2111 	N	S	LAN 	LA  	LAN                           	19/04/2011	13:20	     	JUL 	JULIACA                       	CUZ 	CUSCO                         	     	  -  	                    	     	0
TA 010  	N	L	TPU 	TA  	TACA                          	19/04/2011	13:30	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
2I 101  	N	L	STP 	2I  	STAR PERU                     	19/04/2011	13:30	     	MVV 	MALVINAS                      	    	                              	     	  -  	                    	     	
LA 2043 	N	S	LAN 	LA  	LAN                           	19/04/2011	13:35	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
LA 2395 	N	L	LAN 	LA  	LAN                           	19/04/2011	13:35	     	IQT 	IQUITOS                       	    	                              	     	  -  	                    	     	0
LA 2121 	N	S	LAN 	LA  	LAN                           	19/04/2011	13:40	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
LA 2047 	N	S	LAN 	LA  	LAN                           	19/04/2011	13:50	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
TA 5012 	N	L	TPU 	TA  	TACA                          	19/04/2011	13:55	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
AT  1667	N	S	AMP 	AT  	ATSA                          	19/04/2011	14:00	     	    	NVO MUNDO                     	    	                              	     	  -  	                    	     	
AT  1875	N	S	AMP 	AT  	ATSA                          	19/04/2011	14:00	     	    	NVO MUNDO                     	    	                              	     	  -  	                    	     	
LA 2395 	N	S	LAN 	LA  	LAN                           	19/04/2011	14:10	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
CM 476  	I	S	CMP 	CM  	COPA AIRLINES                 	19/04/2011	14:13	     	    	PANAMA                        	    	                              	     	  -  	                    	     	P
KL 3012 	I	S	KLM 	KL  	K.L.M.                        	19/04/2011	14:13	     	    	PANAMA                        	    	                              	     	  -  	                    	     	S
2I 1182 	N	L	STP 	2I  	STAR PERU                     	19/04/2011	14:20	     	PEM 	P.MALDONAD                    	CUZ 	CUSCO                         	     	  -  	                    	     	
2I 104  	N	S	STP 	2I  	STAR PERU                     	19/04/2011	14:30	     	MVV 	MALVINAS                      	    	                              	     	  -  	                    	     	
LA 2032 	N	L	LAN 	LA  	LAN                           	19/04/2011	14:40	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
W4 139  	N	L	LCB 	W4  	LC BUSRE                      	19/04/2011	14:50	     	AYP 	AYACUCHO                      	    	                              	     	  -  	                    	     	P
LA 2297 	N	L	LAN 	LA  	LAN                           	19/04/2011	14:55	     	CJA 	CAJAMARCA                     	    	                              	     	  -  	                    	     	0
P9 271  	N	L	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	14:55	     	TCQ 	TACNA                         	    	                              	     	  -  	                    	     	
2I 4221 	N	L	STP 	2I  	STAR PERU                     	19/04/2011	15:00	     	HUU 	HUANUCO                       	    	                              	     	  -  	                    	     	
2I 108  	N	S	STP 	2I  	STAR PERU                     	19/04/2011	15:00	     	MVV 	MALVINAS                      	    	                              	     	  -  	                    	     	
CM 393  	I	L	CMP 	CM  	COPA AIRLINES                 	19/04/2011	15:06	     	    	PANAMA                        	    	                              	     	  -  	                    	     	P
TA 012  	N	L	TPU 	TA  	TACA                          	19/04/2011	15:15	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
LA 2294 	N	S	LAN 	LA  	LAN                           	19/04/2011	15:20	     	CJA 	CAJAMARCA                     	    	                              	     	  -  	                    	     	0
W4 1313 	N	S	LCB 	W4  	LC BUSRE                      	19/04/2011	15:20	     	CJA 	CAJAMARCA                     	    	                              	     	  -  	                    	     	0
LA 2074 	N	L	LAN 	LA  	LAN                           	19/04/2011	15:20	     	PEM 	P.MALDONAD                    	CUZ 	CUSCO                         	     	  -  	                    	     	0
P9 235  	N	L	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	15:30	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	
W4 1323 	N	S	LCB 	W4  	LC BUSRE                      	19/04/2011	15:30	     	AYP 	AYACUCHO                      	    	                              	     	  -  	                    	     	P
LA 2036 	N	L	LAN 	LA  	LAN                           	19/04/2011	15:30	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
LA 2382 	N	S	LAN 	LA  	LAN                           	19/04/2011	15:40	     	IQT 	IQUITOS                       	    	                              	     	  -  	                    	     	0
P9 236  	N	S	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	15:45	     	AQP 	AREQUIPA                      	    	                              	     	1 -5 	                    	     	
2I 201  	N	L	STP 	2I  	STAR PERU                     	19/04/2011	15:45	     	MVV 	MALVINAS                      	    	                              	     	  -  	                    	     	
LA 2109 	N	S	LAN 	LA  	LAN                           	19/04/2011	15:50	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
LA 2140 	N	L	LAN 	LA  	LAN                           	19/04/2011	15:50	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
LA 2276 	N	S	LAN 	LA  	LAN                           	19/04/2011	16:10	     	CIX 	CHICLAYO                      	    	                              	     	  -  	                    	     	0
LA 2308 	N	S	LAN 	LA  	LAN                           	19/04/2011	16:20	     	PIU 	PIURA                         	    	                              	     	  -  	                    	     	0
LA 2206 	N	S	LAN 	LA  	LAN                           	19/04/2011	16:25	     	TRU 	TRUJILLO                      	    	                              	     	  -  	                    	     	0
CM 394  	I	S	CMP 	CM  	COPA AIRLINES                 	19/04/2011	16:28	     	    	PANAMA                        	    	                              	     	  -  	                    	     	P
AV 025  	I	L	AVA 	AV  	AVIANCA                       	19/04/2011	16:30	     	BOG 	BOGOTA                        	    	                              	     	  -  	                    	     	P
2I 105  	N	L	STP 	2I  	STAR PERU                     	19/04/2011	16:30	     	MVV 	MALVINAS                      	    	                              	     	  -  	                    	     	
TA 003  	N	S	TPU 	TA  	TACA                          	19/04/2011	16:35	     	JUL 	JULIACA                       	    	                              	     	  -  	                    	     	0
LA 632  	I	L	LAN 	LA  	LAN                           	19/04/2011	16:40	     	SCL 	SANTIAGO                      	    	                              	     	  -  	                    	     	0
LA 2042 	N	L	LAN 	LA  	LAN                           	19/04/2011	16:55	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
LA 2046 	N	L	LAN 	LA  	LAN                           	19/04/2011	17:00	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
P9 445  	N	L	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	17:00	     	TBP 	TUMBES                        	    	                              	     	  -  	                    	     	
LA 2120 	N	L	LAN 	LA  	LAN                           	19/04/2011	17:15	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
H2 802  	I	L	SKU 	H2  	SKY AIRLINES                  	19/04/2011	17:15	     	SCL 	SANTIAGO                      	ANF 	ANTOFAGAST                    	     	  -  	                    	     	0
TA 105  	N	S	TPU 	TA  	TACA                          	19/04/2011	17:15	     	TPP 	TARAPOTO                      	    	                              	     	  -  	                    	     	0
LA 2100 	N	S	LAN 	LA  	LAN                           	19/04/2011	17:20	     	JUL 	JULIACA                       	AQP 	AREQUIPA                      	     	  -  	                    	     	0
LA 2394 	N	L	LAN 	LA  	LAN                           	19/04/2011	17:25	     	CUZ 	CUSCO                         	    	                              	     	  -  	                    	     	0
AV 024  	I	S	AVA 	AV  	AVIANCA                       	19/04/2011	17:30	     	BOG 	BOGOTA                        	    	                              	     	  -  	                    	     	P
TA 6054 	I	S	TPU 	TA  	TACA                          	19/04/2011	17:30	     	BOG 	BOGOTA                        	    	                              	     	  -  	                    	     	S
P9 122  	N	S	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	17:30	     	IQT 	IQUITOS                       	    	                              	     	1 -5 	                    	     	
IB 6651 	I	L	IBE 	IB  	IBERIA                        	19/04/2011	17:35	     	MAD 	MADRID                        	    	                              	     	  -  	                    	     	P
BA 7332 	I	L	BAW 	BA  	BRITISH AIRWAYS               	19/04/2011	17:35	     	MAD 	MADRID                        	    	                              	     	  -  	                    	     	S
2I 109  	N	L	STP 	2I  	STAR PERU                     	19/04/2011	17:40	     	MVV 	MALVINAS                      	    	                              	     	  -  	                    	     	
LA 2334 	N	S	LAN 	LA  	LAN                           	19/04/2011	17:40	     	TBP 	TUMBES                        	    	                              	     	  -  	                    	     	0
LA 2072 	N	L	LAN 	LA  	LAN                           	19/04/2011	17:45	     	PEM 	P.MALDONAD                    	CUZ 	CUSCO                         	     	  -  	                    	     	0
LA 633  	I	S	LAN 	LA  	LAN                           	19/04/2011	17:50	     	SCL 	SANTIAGO                      	    	                              	     	  -  	                    	     	P
2I 3116 	N	L	STP 	2I  	STAR PERU                     	19/04/2011	17:55	     	IQT 	IQUITOS                       	TPP 	TARAPOTO                      	     	  -  	                    	     	
LA 2394 	N	S	LAN 	LA  	LAN                           	19/04/2011	18:00	     	IQT 	IQUITOS                       	    	                              	     	  -  	                    	     	0
P9 416  	N	S	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	18:00	     	PIU 	PIURA                         	    	                              	     	1 -5 	                    	     	
KL 743  	I	L	KLM 	KL  	K.L.M.                        	19/04/2011	18:10	     	AMS 	AMSTERDAM                     	    	                              	     	  -  	                    	     	P
AF 8433 	I	L	AFR 	AF  	AIR FRANCE                    	19/04/2011	18:10	     	AMS 	AMSTERDAM                     	    	                              	     	  -  	                    	     	S
LA 2310 	N	S	LAN 	LA  	LAN                           	19/04/2011	18:10	     	PIU 	PIURA                         	    	                              	     	  -  	                    	     	0
2I 1239 	N	S	STP 	2I  	STAR PERU                     	19/04/2011	18:15	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	
LA 2295 	N	L	LAN 	LA  	LAN                           	19/04/2011	18:15	     	CJA 	CAJAMARCA                     	    	                              	     	  -  	                    	     	0
2I 2213 	N	S	STP 	2I  	STAR PERU                     	19/04/2011	18:15	     	TRU 	TRUJILLO                      	CIX 	CHICLAYO                      	     	  -  	                    	     	
W4 1324 	N	L	LCB 	W4  	LC BUSRE                      	19/04/2011	18:35	     	AYP 	AYACUCHO                      	    	                              	     	  -  	                    	     	P
2I 3239 	N	S	STP 	2I  	STAR PERU                     	19/04/2011	18:35	     	TPP 	TARAPOTO                      	PCL 	PUCALLPA                      	     	  -  	                    	     	
P9 237  	N	L	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	18:45	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	
LA 2256 	N	S	LAN 	LA  	LAN                           	19/04/2011	18:50	     	TPP 	TARAPOTO                      	    	                              	     	  -  	                    	     	0
2I 3218 	N	L	STP 	2I  	STAR PERU                     	19/04/2011	18:55	     	IQT 	IQUITOS                       	PCL 	PUCALLPA                      	     	  -  	                    	     	
P9 232  	N	S	PAL 	P9  	PERUVIAN AIRLINES             	19/04/2011	19:00	     	AQP 	AREQUIPA                      	    	                              	     	1 -5 	                    	     	
H2 803  	I	S	SKU 	H2  	SKY AIRLINES                  	19/04/2011	19:00	     	SCL 	SANTIAGO                      	ANF 	ANTOFAGAST                    	     	  -  	                    	     	0
LA 2161 	N	S	LAN 	LA  	LAN                           	19/04/2011	19:00	     	TCQ 	TACNA                         	    	                              	     	  -  	                    	     	0
W4 1314 	N	L	LCB 	W4  	LC BUSRE                      	19/04/2011	19:05	     	CJA 	CAJAMARCA                     	    	                              	     	  -  	                    	     	0
LA 2706 	I	S	LAN 	LA  	LAN                           	19/04/2011	19:10	     	MAD 	MADRID                        	    	                              	     	  -  	                    	     	P
IB 7758 	I	S	IBE 	IB  	IBERIA                        	19/04/2011	19:10	     	MAD 	MADRID                        	    	                              	     	  -  	                    	     	S
LA 2207 	N	L	LAN 	LA  	LAN                           	19/04/2011	19:10	     	TRU 	TRUJILLO                      	    	                              	     	  -  	                    	     	0
LA 2108 	N	L	LAN 	LA  	LAN                           	19/04/2011	19:20	     	AQP 	AREQUIPA                      	    	                              	     	  -  	                    	     	0
LA 2277 	N	L	LAN 	LA  	LAN                           	19/04/2011	19:20	     	CIX 	CHICLAYO                      	    	                              	     	  -  	                    	     	0
LA 2383 	N	L	LAN 	LA  	LAN                           	19/04/2011	19:40	     	IQT 	IQUITOS                       	    	                              	     	  -  	                    	     	0
